name,path,size,file_or_dir,parent
92ca174e09ca391c4a509a5f54b7cace9a7f2e,C:\PythonHomeWork_T\.git\objects\4f,153,FILE,C:\PythonHomeWork_T\.git\objects\4f
7c6895c6628cf97f6f164ceebbbd31600396ae,C:\PythonHomeWork_T\.git\objects\50,182,FILE,C:\PythonHomeWork_T\.git\objects\50
87c43b735b61640ec1631ce7bd9e647ec59468,C:\PythonHomeWork_T\.git\objects\50,131,FILE,C:\PythonHomeWork_T\.git\objects\50
3205a5b3a39f0bc37d1eee6bdb9ea2e780f62e,C:\PythonHomeWork_T\.git\objects\57,107,FILE,C:\PythonHomeWork_T\.git\objects\57
c7ab625fd73d363bda6180e25ed4b723d3da6e,C:\PythonHomeWork_T\.git\objects\65,632,FILE,C:\PythonHomeWork_T\.git\objects\65
faecb7bbe58b944fda3b41313c0c96163d16dd,C:\PythonHomeWork_T\.git\objects\65,192,FILE,C:\PythonHomeWork_T\.git\objects\65
ce202e0e9fe28d286d96afa7e92aa844fbd36b,C:\PythonHomeWork_T\.git\objects\67,110,FILE,C:\PythonHomeWork_T\.git\objects\67
745c0e7cd9e0851f08416be3ed5e947b77059b,C:\PythonHomeWork_T\.git\objects\68,154,FILE,C:\PythonHomeWork_T\.git\objects\68
4ec029df9af035175462919cfd58258a349342,C:\PythonHomeWork_T\.git\objects\70,79,FILE,C:\PythonHomeWork_T\.git\objects\70
67af55ada85d6db845bc4e543a0e683b4913db,C:\PythonHomeWork_T\.git\objects\75,415,FILE,C:\PythonHomeWork_T\.git\objects\75
b3b54b9ffdbe429b9bf1b4cb31f1664aeeb29a,C:\PythonHomeWork_T\.git\objects\79,1068,FILE,C:\PythonHomeWork_T\.git\objects\79
2ff21c22c2c39da6a6748e057262e57a275e92,C:\PythonHomeWork_T\.git\objects\7b,551,FILE,C:\PythonHomeWork_T\.git\objects\7b
d27559fb45891ae1929146f51f65dc10ebde66,C:\PythonHomeWork_T\.git\objects\80,306,FILE,C:\PythonHomeWork_T\.git\objects\80
9ab07842a297c18efa5c52c9b5edc1c2552f67,C:\PythonHomeWork_T\.git\objects\85,838,FILE,C:\PythonHomeWork_T\.git\objects\85
a1a59e1a4675e93f7a1f319f26f4d33f3471b9,C:\PythonHomeWork_T\.git\objects\85,80,FILE,C:\PythonHomeWork_T\.git\objects\85
7e5971a4a3ea0ed3ab23238a5869a9db6c0165,C:\PythonHomeWork_T\.git\objects\8b,242,FILE,C:\PythonHomeWork_T\.git\objects\8b
eb2684c6de0993c5535fddb2c5f941863c4adb,C:\PythonHomeWork_T\.git\objects\8d,303,FILE,C:\PythonHomeWork_T\.git\objects\8d
633731f6c6ad111f649f5408f0cd5e6a5b96dd,C:\PythonHomeWork_T\.git\objects\8e,153,FILE,C:\PythonHomeWork_T\.git\objects\8e
6af1168a2e0ab2cd7922ab5fc7027a2675c1be,C:\PythonHomeWork_T\.git\objects\90,593,FILE,C:\PythonHomeWork_T\.git\objects\90
42c1cdc01d6f87cb8ea0a6033bc44d68f3d823,C:\PythonHomeWork_T\.git\objects\93,106,FILE,C:\PythonHomeWork_T\.git\objects\93
668c30768b4f09f3122f5e3011336f21fc3052,C:\PythonHomeWork_T\.git\objects\99,581,FILE,C:\PythonHomeWork_T\.git\objects\99
a8530eee2ec00cd8b803f7a965c555b31511b5,C:\PythonHomeWork_T\.git\objects\99,207,FILE,C:\PythonHomeWork_T\.git\objects\99
af977f6486b6f52608e2049540c5a41a46ba33,C:\PythonHomeWork_T\.git\objects\99,793,FILE,C:\PythonHomeWork_T\.git\objects\99
8e7e4745da2a781e211be6ea30fd23c748d0f3,C:\PythonHomeWork_T\.git\objects\9a,124,FILE,C:\PythonHomeWork_T\.git\objects\9a
06f8501ccab0539874c8db17531796b27ea134,C:\PythonHomeWork_T\.git\objects\9f,749,FILE,C:\PythonHomeWork_T\.git\objects\9f
f58b8857b76b033065b6c0a9f741918997480c,C:\PythonHomeWork_T\.git\objects\9f,1507,FILE,C:\PythonHomeWork_T\.git\objects\9f
8fda077b4b92a3dc80bf2c28c339bb13b9257e,C:\PythonHomeWork_T\.git\objects\a0,852,FILE,C:\PythonHomeWork_T\.git\objects\a0
5a0293b61a8a4335e8a386330779d040e789d7,C:\PythonHomeWork_T\.git\objects\a5,369,FILE,C:\PythonHomeWork_T\.git\objects\a5
6bf5ba6c7a6aa51389b1faacc45bd36f9e07bb,C:\PythonHomeWork_T\.git\objects\a5,153,FILE,C:\PythonHomeWork_T\.git\objects\a5
94fb72e4b4e9fb277ca53531a91667e2b34460,C:\PythonHomeWork_T\.git\objects\a7,386,FILE,C:\PythonHomeWork_T\.git\objects\a7
2ff826d3737b8da30b496fe2d606ade0a0ce15,C:\PythonHomeWork_T\.git\objects\ac,256,FILE,C:\PythonHomeWork_T\.git\objects\ac
3fa4cbd2a5799cf5365d1110a056fc741b64e2,C:\PythonHomeWork_T\.git\objects\ae,642,FILE,C:\PythonHomeWork_T\.git\objects\ae
27298b4f52b6adafc8341da2ff81689dfbd054,C:\PythonHomeWork_T\.git\objects\b6,102,FILE,C:\PythonHomeWork_T\.git\objects\b6
c1c45c95e04d2287d6822b226ef4717224d893,C:\PythonHomeWork_T\.git\objects\bb,522,FILE,C:\PythonHomeWork_T\.git\objects\bb
f24ca1c96e48e396744f1e6c872b1cbbac1025,C:\PythonHomeWork_T\.git\objects\bb,153,FILE,C:\PythonHomeWork_T\.git\objects\bb
8d2b3939f303ca8f157307a1ac77140c9476be,C:\PythonHomeWork_T\.git\objects\c0,154,FILE,C:\PythonHomeWork_T\.git\objects\c0
9069ef6f0ddb8bae7eb3111c7ed96313a316b9,C:\PythonHomeWork_T\.git\objects\c6,393,FILE,C:\PythonHomeWork_T\.git\objects\c6
ad93ba037aaaf4c2a1d62e14d62f40b8d224d2,C:\PythonHomeWork_T\.git\objects\ce,490,FILE,C:\PythonHomeWork_T\.git\objects\ce
2ce11eca4dfae5f6400dd0574a544f2e65b984,C:\PythonHomeWork_T\.git\objects\d2,156,FILE,C:\PythonHomeWork_T\.git\objects\d2
3f61dc1221faf9b37d17faec776288c17421c7,C:\PythonHomeWork_T\.git\objects\db,267,FILE,C:\PythonHomeWork_T\.git\objects\db
edfd1c0e45ff4dae3449b69c9711600187ae17,C:\PythonHomeWork_T\.git\objects\db,163,FILE,C:\PythonHomeWork_T\.git\objects\db
505ba7b3e69aa671f4b57d500fcb60523d15c7,C:\PythonHomeWork_T\.git\objects\de,152,FILE,C:\PythonHomeWork_T\.git\objects\de
1299871882a73ce1def2f4e200d184fc65220b,C:\PythonHomeWork_T\.git\objects\e3,157,FILE,C:\PythonHomeWork_T\.git\objects\e3
25706e486067ee25bb15b9d6ae336a02ce3daa,C:\PythonHomeWork_T\.git\objects\e3,582,FILE,C:\PythonHomeWork_T\.git\objects\e3
17da09ef2de44b1b97d7500fe45e34794eebc8,C:\PythonHomeWork_T\.git\objects\e4,139,FILE,C:\PythonHomeWork_T\.git\objects\e4
cd6e054fcef712d9474bcbf1428c7d4ccab289,C:\PythonHomeWork_T\.git\objects\e5,137,FILE,C:\PythonHomeWork_T\.git\objects\e5
9de29bb2d1d6434b8b29ae775ad8c2e48c5391,C:\PythonHomeWork_T\.git\objects\e6,15,FILE,C:\PythonHomeWork_T\.git\objects\e6
74f877b0303125defc9cbe5a134ad67155afae,C:\PythonHomeWork_T\.git\objects\ee,107,FILE,C:\PythonHomeWork_T\.git\objects\ee
27a6ca4a561c8d185247b27bfef2a9a07ce28f,C:\PythonHomeWork_T\.git\objects\f0,301,FILE,C:\PythonHomeWork_T\.git\objects\f0
8caf654fb6d1d517f50deb25af0c09e6dfdb95,C:\PythonHomeWork_T\.git\objects\f0,80,FILE,C:\PythonHomeWork_T\.git\objects\f0
4dca5a984a03406875beb3dcaf41a2d9abe9aa,C:\PythonHomeWork_T\.git\objects\f2,55,FILE,C:\PythonHomeWork_T\.git\objects\f2
8d126a735795da90448951d41fb7f1f32c8c1b,C:\PythonHomeWork_T\.git\objects\f2,80,FILE,C:\PythonHomeWork_T\.git\objects\f2
f8fcf47d75d5c934928e1545058ad8829d99a5,C:\PythonHomeWork_T\.git\objects\f6,51,FILE,C:\PythonHomeWork_T\.git\objects\f6
50cf77c3a6e5b69b8bd077def083c6a00d307c,C:\PythonHomeWork_T\.git\objects\f9,1654,FILE,C:\PythonHomeWork_T\.git\objects\f9
heads,C:\PythonHomeWork_T\.git\refs,0,DIR,C:\PythonHomeWork_T\.git\refs
remotes,C:\PythonHomeWork_T\.git\refs,0,DIR,C:\PythonHomeWork_T\.git\refs
tags,C:\PythonHomeWork_T\.git\refs,0,DIR,C:\PythonHomeWork_T\.git\refs
main,C:\PythonHomeWork_T\.git\refs\heads,41,FILE,C:\PythonHomeWork_T\.git\refs\heads
origin,C:\PythonHomeWork_T\.git\refs\remotes,0,DIR,C:\PythonHomeWork_T\.git\refs\remotes
main,C:\PythonHomeWork_T\.git\refs\remotes\origin,41,FILE,C:\PythonHomeWork_T\.git\refs\remotes\origin
inspectionProfiles,C:\PythonHomeWork_T\.idea,0,DIR,C:\PythonHomeWork_T\.idea
.gitignore,C:\PythonHomeWork_T\.idea,50,FILE,C:\PythonHomeWork_T\.idea
misc.xml,C:\PythonHomeWork_T\.idea,188,FILE,C:\PythonHomeWork_T\.idea
modules.xml,C:\PythonHomeWork_T\.idea,291,FILE,C:\PythonHomeWork_T\.idea
PythonHomeWork_T.iml,C:\PythonHomeWork_T\.idea,291,FILE,C:\PythonHomeWork_T\.idea
vcs.xml,C:\PythonHomeWork_T\.idea,185,FILE,C:\PythonHomeWork_T\.idea
workspace.xml,C:\PythonHomeWork_T\.idea,9375,FILE,C:\PythonHomeWork_T\.idea
profiles_settings.xml,C:\PythonHomeWork_T\.idea\inspectionProfiles,174,FILE,C:\PythonHomeWork_T\.idea\inspectionProfiles
__pycache__,C:\PythonHomeWork_T\Homework1,73728,DIR,C:\PythonHomeWork_T\Homework1
hwtask1.py,C:\PythonHomeWork_T\Homework1,1669,FILE,C:\PythonHomeWork_T\Homework1
